,YAC_1to3,YAC_2to5,numDefenders,YAC_3to7,YAC_5to10
0,6.526315789473684,3.3333333333333335,0.0,,
1,7.395095367847412,9.252475247524753,1.0,11.524752475247524,13.068965517241379
2,2.756457564575646,3.881401617250674,2.0,4.694444444444445,5.8545454545454545
3,1.3,2.8333333333333335,3.0,3.2888888888888888,4.564885496183206
4,1.0,,5.0,5.0,3.7666666666666666
5,,2.0,4.0,3.761904761904762,4.318840579710145
6,,5.0,6.0,,4.333333333333333
7,,1.0,7.0,5.0,8.666666666666666
8,,,8.0,1.0,5.0
9,,,9.0,,8.0
10,,,10.0,,1.0
