,gameId,playId,passLength,offenseFormation,defendersInTheBox,tackleZone_5to10,tackleZone_3to7,tackleZone_2to5,tackleZone_1to3,tackleZone_5to10_blck,tackleZone_3to7_blck,tackleZone_2to5_blck,tackleZone_1to3_blck,YAC,prePenaltyPlayResult
0,2022091111,1148,11.0,I_FORM,6.0,3,3,2,1,0,0,0,0,4.0,15
1,2022091102,3336,11.0,SHOTGUN,6.0,5,4,4,3,1,0,0,0,0.0,11
2,2022091109,1705,2.0,SINGLEBACK,7.0,2,1,1,1,0,0,0,0,6.0,8
3,2022091100,1887,18.0,SHOTGUN,5.0,4,3,2,2,1,1,0,0,13.0,31
4,2022091104,865,15.0,SHOTGUN,6.0,3,3,1,1,0,0,0,0,3.0,18
5,2022091108,2938,5.0,SHOTGUN,6.0,3,2,2,2,1,0,0,0,1.0,6
6,2022091108,1222,2.0,SINGLEBACK,7.0,4,3,3,2,0,0,0,0,0.0,2
7,2022091106,2450,0.0,SINGLEBACK,6.0,4,4,3,3,0,0,0,0,1.0,1
8,2022091103,1171,4.0,SHOTGUN,7.0,3,3,3,2,1,0,0,0,0.0,4
9,2022091104,3307,17.0,SINGLEBACK,6.0,2,2,1,1,0,0,0,0,12.0,29
10,2022091106,2743,5.0,I_FORM,7.0,3,2,2,1,0,0,0,0,3.0,8
11,2022091108,3712,2.0,SHOTGUN,6.0,3,2,2,2,1,1,0,0,1.0,3
12,2022091105,3139,6.0,EMPTY,5.0,3,2,2,0,0,0,0,0,3.0,9
13,2022091112,611,3.0,EMPTY,5.0,3,2,2,0,1,0,0,0,3.0,6
14,2022091106,835,4.0,SHOTGUN,7.0,3,2,2,2,0,0,0,0,1.0,5
15,2022090800,2184,4.0,SHOTGUN,5.0,4,4,4,1,1,0,0,0,3.0,7
16,2022091113,2672,13.0,SHOTGUN,6.0,4,4,3,1,0,0,0,0,1.0,14
17,2022091112,2167,-3.0,PISTOL,5.0,3,2,2,2,1,0,0,0,3.0,0
18,2022091110,3026,3.0,SHOTGUN,5.0,3,2,2,0,1,1,0,0,1.0,4
19,2022091107,744,3.0,SHOTGUN,6.0,3,2,2,2,0,0,0,0,5.0,8
